commsz 1, form: ijk, time: 1238.220326185226440
commsz 8, form: ijk, time: 1106.552999973297119
8,ijk,888.897531986236572
commsz 1, form: ijk, time: 1558.864888906478882
8,ijk,906.729732036590576
8,ijk,893.126491069793701
1,ijk,1571.655526161193848
1,ijk,1356.230298042297363
1,ijk,1256.449313879013062
4,ijk,973.829523086547852
4,ijk,978.838341951370239
4,ijk,1365.919893026351929
4,ijk,1345.087610960006714
8,ijk,1742.091254949569702
8,ijk,1770.674890995025635
8,ijk,1854.219816207885742
1,ijk,1322.882334947586060
1,ijk,1323.477384805679321
1,ijk,1632.917819023132324
1,ijk,1666.054957151412964
1,ijk,1961.915464162826538
1,ijk,2025.311928987503052
1,ijk,2223.559107780456543
1,ijk,2208.900099992752075
1,ijk,2415.795260906219482
1,ijk,2421.477271080017090
4,ijk,1284.710433959960938
4,ijk,1350.346801996231079
4,ijk,2257.309648036956787
4,ijk,2417.773717880249023
4,ijk,1911.843832969665527
4,ijk,1679.997423171997070
4,ijk,1269.139293193817139
4,ijk,1420.760812997817993
4,ijk,1124.300630807876587
8,ijk,3028.224186897277832
8,ijk,2880.643938064575195
8,ijk,2630.379523992538452
8,ijk,2630.282783985137939
8,ijk,2854.810580968856812
8,ijk,3034.505495071411133
8,ijk,2692.410147905349731
8,ijk,2334.037307024002075
16,ijk,2260.453114986419678
8,ijk,3069.259351015090942
8,ijk,3052.211874008178711
16,ijk,1501.856137037277222
16,ijk,1369.133318901062012
16,ijk,1502.643801927566528
